Time,Temperature,Humidity,Vibration,Status
10:47:14,24.0,40.0,16.15,RUNNING
10:47:20,24.0,40.0,16.15,RUNNING
10:47:40,24.0,40.0,9.81,RUNNING
10:47:45,24.0,40.0,9.81,RUNNING
10:47:51,24.0,40.0,9.81,RUNNING
10:47:56,24.0,40.0,9.81,RUNNING
10:48:02,24.0,40.0,16.66,RUNNING
10:48:07,24.0,40.0,16.66,RUNNING
10:48:15,24.0,40.0,16.66,RUNNING
10:48:21,24.0,40.0,16.66,RUNNING
10:48:29,24.0,40.0,16.66,RUNNING
10:48:39,24.0,40.0,16.66,RUNNING
10:48:45,-37.2,40.0,16.66,RUNNING
10:48:52,-37.2,76.5,16.66,RUNNING
10:49:01,-37.2,76.5,16.66,RUNNING
10:49:09,-37.2,76.5,16.66,RUNNING
10:49:18,-37.2,76.5,16.66,RUNNING
10:49:27,-37.2,76.5,16.66,RUNNING
10:49:35,-37.2,76.5,16.66,RUNNING
10:49:45,-37.2,76.5,16.66,RUNNING
10:49:55,-37.2,76.5,16.66,RUNNING
10:50:05,-37.2,76.5,16.66,RUNNING
10:50:15,-37.2,76.5,16.66,RUNNING
10:50:25,-37.2,76.5,16.66,RUNNING
10:50:35,-37.2,76.5,16.66,RUNNING
10:50:45,-37.2,76.5,16.66,RUNNING
10:50:53,-37.2,76.5,16.66,RUNNING
10:51:02,-37.2,76.5,16.66,RUNNING
10:51:10,-37.2,76.5,16.66,RUNNING
10:51:19,-37.2,76.5,16.66,RUNNING
10:51:29,-37.2,76.5,16.66,RUNNING
10:51:39,-37.2,76.5,16.66,RUNNING
10:51:49,-37.2,76.5,16.66,RUNNING
10:51:58,-37.2,76.5,16.66,RUNNING
10:52:08,-37.2,76.5,16.66,RUNNING
10:52:18,-37.2,76.5,16.66,RUNNING
10:52:28,-37.2,76.5,16.66,RUNNING
10:52:38,-37.2,76.5,16.66,RUNNING
10:52:48,-37.2,76.5,16.66,RUNNING
10:52:59,-37.2,76.5,16.66,RUNNING
10:53:09,-37.2,76.5,16.66,RUNNING
10:53:19,-37.2,76.5,16.66,RUNNING
10:53:28,-37.2,76.5,16.66,RUNNING
10:53:38,-37.2,76.5,16.66,RUNNING
11:12:25,-37.2,76.5,16.66,RUNNING
11:12:30,-37.2,76.5,16.66,RUNNING
11:12:36,-37.2,76.5,16.66,RUNNING
11:12:41,-37.2,76.5,16.66,RUNNING
11:12:46,-37.2,76.5,16.66,RUNNING
11:12:52,-37.2,76.5,16.66,RUNNING
11:12:57,-37.2,76.5,16.66,RUNNING
11:13:03,-37.2,76.5,16.66,RUNNING
11:13:08,-37.2,76.5,16.66,RUNNING
11:13:13,-37.2,76.5,16.66,RUNNING
11:13:19,-37.2,76.5,16.66,RUNNING
11:13:24,-37.2,76.5,16.66,RUNNING
11:13:30,-37.2,76.5,16.66,RUNNING
11:13:35,-37.2,76.5,16.66,RUNNING
11:13:40,-37.2,76.5,16.66,RUNNING
11:13:46,-37.2,76.5,16.66,RUNNING
11:13:51,-37.2,76.5,16.66,RUNNING
11:13:57,-37.2,76.5,16.66,RUNNING
11:14:02,-37.2,76.5,16.66,RUNNING
11:14:08,-37.2,76.5,16.66,RUNNING
11:14:13,-37.2,76.5,16.66,RUNNING
11:14:19,-37.2,76.5,16.66,RUNNING
11:14:24,-37.2,76.5,16.66,RUNNING
11:14:29,-37.2,76.5,16.66,RUNNING
11:14:35,-37.2,76.5,16.66,RUNNING
11:14:40,-37.2,76.5,16.66,RUNNING
11:14:46,-37.2,76.5,16.66,RUNNING
11:14:51,-37.2,76.5,16.66,RUNNING
11:14:57,-37.2,76.5,16.66,RUNNING
11:15:02,-37.2,76.5,16.66,RUNNING
11:15:07,-37.2,76.5,16.66,RUNNING
11:15:13,-37.2,76.5,16.66,RUNNING
11:15:18,-37.2,76.5,16.66,RUNNING
11:15:27,-37.2,76.5,16.66,RUNNING
11:15:40,-37.2,76.5,16.66,RUNNING
11:15:56,-37.2,76.5,16.66,RUNNING
11:16:08,-37.2,76.5,16.66,RUNNING
11:16:21,-37.2,76.5,16.66,RUNNING
11:16:34,-37.2,76.5,16.66,RUNNING
11:16:49,-37.2,76.5,16.66,RUNNING
11:17:03,-37.2,76.5,16.66,RUNNING
11:17:18,-37.2,76.5,16.66,RUNNING
11:17:30,-37.2,76.5,16.66,RUNNING
11:17:44,-37.2,76.5,16.66,RUNNING
11:17:58,-37.2,76.5,16.66,RUNNING
11:18:10,-37.2,76.5,16.66,RUNNING
11:18:25,-37.2,76.5,16.66,RUNNING
11:18:40,-37.2,76.5,16.66,RUNNING
11:18:55,-37.2,76.5,16.66,RUNNING
11:19:09,-37.2,76.5,16.66,RUNNING
11:19:22,-37.2,76.5,16.66,RUNNING
11:19:36,-37.2,76.5,16.66,RUNNING
11:19:48,-37.2,76.5,16.66,RUNNING
11:20:02,-37.2,76.5,16.66,RUNNING
11:20:15,-37.2,76.5,16.66,RUNNING
11:20:29,-37.2,76.5,16.66,RUNNING
11:20:43,-37.2,76.5,16.66,RUNNING
11:20:56,-37.2,76.5,16.66,RUNNING
11:21:11,-37.2,76.5,16.66,RUNNING
11:21:24,-37.2,76.5,16.66,RUNNING
11:21:37,-37.2,76.5,16.66,RUNNING
11:21:51,-37.2,76.5,16.66,RUNNING
11:21:56,-37.2,76.5,16.66,RUNNING
11:22:01,-37.2,76.5,16.66,RUNNING
11:22:07,-37.2,76.5,16.66,RUNNING
11:22:12,-37.2,76.5,16.66,RUNNING
11:22:18,-37.2,76.5,16.66,RUNNING
11:22:23,-37.2,76.5,16.66,RUNNING
11:22:28,-37.2,76.5,16.66,RUNNING
11:22:34,-37.2,76.5,16.66,RUNNING
11:22:39,-37.2,76.5,16.66,RUNNING
11:22:45,-37.2,76.5,16.66,RUNNING
11:22:50,-37.2,76.5,16.66,RUNNING
11:22:55,-37.2,76.5,16.66,RUNNING
11:23:01,-37.2,76.5,16.66,RUNNING
11:23:06,-37.2,76.5,16.66,RUNNING
11:23:12,-37.2,76.5,16.66,RUNNING
11:23:17,-37.2,76.5,16.66,RUNNING
11:23:23,-37.2,76.5,16.66,RUNNING
11:23:28,-37.2,76.5,16.66,RUNNING
11:23:34,-37.2,76.5,16.66,RUNNING
11:23:39,-37.2,76.5,16.66,RUNNING
11:23:44,-37.2,76.5,16.66,RUNNING
11:23:50,-37.2,76.5,16.66,RUNNING
11:23:56,-37.2,76.5,16.66,RUNNING
16:24:03,24.0,40.0,9.81,RUNNING
16:24:10,24.0,40.0,9.81,RUNNING
16:24:15,58.8,40.0,9.81,RUNNING
16:24:21,58.8,10.0,20.58,RUNNING
16:24:26,58.8,10.0,18.74,RUNNING
16:24:33,58.8,10.0,18.74,RUNNING
16:24:41,58.8,10.0,18.74,RUNNING
16:24:50,58.8,10.0,18.74,RUNNING
16:24:58,58.8,10.0,18.74,RUNNING
16:25:04,58.8,10.0,18.74,RUNNING
16:25:09,58.8,10.0,18.74,RUNNING
16:25:14,58.8,10.0,18.74,RUNNING
22:59:52,24.0,40.0,9.81,RUNNING
22:59:57,24.0,40.0,9.81,RUNNING
23:01:46,-1.5,75.5,9.81,RUNNING
23:01:52,48.6,75.5,9.81,RUNNING
23:01:57,48.6,75.5,9.81,RUNNING
23:02:03,48.6,75.5,9.81,RUNNING
23:02:08,48.6,75.5,9.81,RUNNING
23:02:13,48.6,75.5,9.81,RUNNING
23:02:19,48.6,75.5,9.81,RUNNING
23:02:25,48.6,75.5,9.81,RUNNING
23:02:49,48.6,75.5,9.81,RUNNING
23:02:55,51.2,75.5,9.81,WARNING
23:03:02,51.2,75.5,9.81,WARNING
23:03:08,51.2,75.5,15.32,CRITICAL
23:03:23,51.2,75.5,17.44,CRITICAL
23:03:32,51.2,75.5,17.44,CRITICAL
23:03:42,51.2,75.5,17.44,CRITICAL
23:03:47,51.2,75.5,24.97,CRITICAL
23:03:52,68.1,75.5,24.97,CRITICAL
23:03:58,68.1,75.5,24.97,CRITICAL
23:04:03,68.1,75.5,24.97,CRITICAL
23:04:08,68.1,75.5,24.97,CRITICAL
23:04:14,68.1,75.5,24.97,CRITICAL
23:04:19,68.1,75.5,24.97,CRITICAL
09:41:11,24.0,40.0,9.81,RUNNING
09:41:37,24.0,40.0,9.81,RUNNING
09:41:42,48.6,30.5,9.81,RUNNING
09:41:47,48.6,30.5,9.81,RUNNING
09:41:53,48.6,30.5,9.81,RUNNING
09:41:58,48.6,30.5,9.81,RUNNING
09:42:03,48.6,30.5,9.81,RUNNING
09:42:08,48.6,30.5,9.81,RUNNING
09:42:14,48.6,30.5,9.81,RUNNING
09:42:19,48.6,30.5,9.81,RUNNING
09:42:24,48.6,30.5,9.81,RUNNING
